Device,Theo1,Theo2,Theo3,Simulated,Experimental,Membrane,Aircomponent,Label,Theo3_old
VOX4,14.2840246154,14.0372605883,11.0248386852,9.5516787537,8.3043,900,8.4864547795,VOX4,9.5968941164
VOX6,22.5484030769,22.9614134748,18.0338519722,15.7073520654,11.905,1600,14.4938560813,VOX6,16.0190002609
VOX7,22.8897938462,23.0542236239,18.1067448927,15.907963728,13.268,1600,14.5748746601,VOX7,16.0837491407
VOX8,23.4540246154,23.6079399108,18.5416326475,17.6924268249,11.766,1600,16.4103486126,VOX8,16.323992555
VOX13,18.156763125,19.052941306,14.9641451091,14.3948711161,13.447,1368,14.1775764953,VOX13,13.2922597333
VOX15,22.5484030769,22.9614134748,18.0338519722,15.6479536817,12.738,1600,14.5710419805,VOX15,16.0190002609
VOX23,21.53897,22.4350397231,17.6204389942,15.6235146728,9.2724,1600,15.1354127102,VOX23,15.6517762972
VOX24,22.2070123077,22.8579586235,17.9525987219,15.442569616,10.875,1600,14.5233885721,VOX24,15.9468251183
VOX32,16.9670123077,17.5089642815,13.7515083897,11.4108241602,9.3089,1200,10.4908329848,VOX32,12.2151061694
VOX33,16.9670123077,17.4666923988,13.7183081306,11.6738652179,12.26,1200,10.792350326,VOX33,12.1856152453
VOX36,21.4791605634,22.3613030359,17.5625263356,16.5059075089,15.42,1600,15.9996406168,VOX36,15.6003339933
VOX39,12.3942688525,12.9888997661,10.2014580209,9.5537401536,10.488,900,8.9981980213,VOX39,9.0616890363
